[[[  1.85652833e+02,   1.93258122e+02,   3.07627495e-01],
  [  1.34426545e+02,   1.75140581e+02,  -6.04930197e-02],
  [  1.67418595e+02,   1.16769249e+02,   6.70948509e-01],
  [  1.65556018e+02,   1.18464886e+02,  -1.56563932e+00],
  [  1.31804632e+02,   1.82429022e+02,  -1.53956039e+00],
  [  1.79578351e+02,   1.90527286e+02,  -6.00881616e-01],
  [  1.66424783e+02,   1.17581713e+02,  -2.20322691e-01],
  [  1.14670933e+02,   9.20706278e+01,   4.55737703e-02],
  [  1.08898279e+02,   8.33552213e+01,   4.90728996e-02],
  [  9.17831636e+01,   6.95320146e+01,   1.88720258e-01],
  [  1.16605726e+02,   1.57842993e+02,   1.23371972e+00],
  [  1.39403810e+02,   1.38302078e+02,   1.98529213e+00],
  [  1.19766516e+02,   9.29114730e+01,   1.20672501e+00],
  [  1.09375495e+02,   9.15857940e+01,  -1.07358349e+00],
  [  1.07268479e+02,   1.35080228e+02,  -1.73957315e+00],
  [  9.46434232e+01,   1.43255015e+02,  -1.25439083e+00]]]
