[[[  1.31611708e+02,   1.86993566e+02,   1.29889185e+00],
  [  1.26432872e+02,   1.47033784e+02,  -1.31512505e-01],
  [  1.23512407e+02,   1.15630349e+02,   4.15784971e-01],
  [  1.29798005e+02,   1.13080862e+02,   4.07345752e-01],
  [  1.31476575e+02,   1.44279710e+02,   3.66815649e-01],
  [  1.32619232e+02,   1.89168632e+02,   1.79219544e+00],
  [  1.26453199e+02,   1.14379502e+02,   5.94146762e-01],
  [  1.23748600e+02,   7.07671763e+01,  -4.89513850e-01],
  [  1.22648567e+02,   6.39226449e+01,  -6.97897596e-01],
  [  1.20195076e+02,   4.69386744e+01,  -1.15285176e+00],
  [  9.94656462e+01,   8.05661238e+01,  -2.58383464e-01],
  [  1.07406637e+02,   9.14388760e+01,   3.80743114e-01],
  [  1.19939602e+02,   7.29203772e+01,  -3.12226923e-01],
  [  1.27229768e+02,   6.86073028e+01,  -7.16367423e-01],
  [  1.32976516e+02,   8.92497932e+01,   7.72384444e-02],
  [  1.31826206e+02,   8.38908204e+01,  -2.72689063e-01]]]
