[[[  1.25642043e+02,   2.18823058e+02,   8.72357831e-01],
  [  1.61214567e+02,   1.72179663e+02,  -9.17930784e-01],
  [  1.34618642e+02,   1.49119471e+02,   2.23107111e-01],
  [  1.31491271e+02,   1.33931130e+02,  -1.61192182e-01],
  [  1.35808403e+02,   1.41990430e+02,   1.70544718e-02],
  [  1.05394884e+02,   2.15099299e+02,   1.71739980e+00],
  [  1.33306726e+02,   1.41459433e+02,   3.96100474e-01],
  [  1.79605024e+02,   9.01603624e+01,   2.61454374e-01],
  [  1.83012371e+02,   8.24162796e+01,  -2.03219903e-01],
  [  1.96391908e+02,   6.27753726e+01,  -2.92684717e-01],
  [  1.67506493e+02,   1.83512633e+02,   3.30142634e-01],
  [  1.66118011e+02,   1.54789103e+02,   2.17144015e-01],
  [  1.78680107e+02,   9.83772414e+01,   8.54592549e-02],
  [  1.79995248e+02,   8.22616649e+01,  -1.29281383e-01],
  [  1.60701056e+02,   1.18496833e+02,  -1.38958927e-01],
  [  1.67880539e+02,   1.74521565e+02,  -5.99232411e-02]]]
