[[[  1.70352388e+02,   2.52380736e+02,   9.41653851e-01],
  [  1.70213568e+02,   1.89193405e+02,   8.36451637e-01],
  [  1.80107796e+02,   1.20745075e+02,   5.55664545e-01],
  [  1.53356375e+02,   1.24356460e+02,  -6.94534902e-01],
  [  1.48451624e+02,   1.84251032e+02,   1.29653966e-01],
  [  1.55868652e+02,   2.52738081e+02,   5.38432302e-01],
  [  1.66806569e+02,   1.22417212e+02,   2.67272438e-01],
  [  1.69415808e+02,   5.64751569e+01,   2.38225872e-01],
  [  1.68509650e+02,   4.72809572e+01,   2.12630357e-01],
  [  1.69748451e+02,   2.22005775e+01,   4.35355505e-01],
  [  1.78189729e+02,   1.11547702e+02,   1.21655119e+00],
  [  1.88670288e+02,   1.02306686e+02,   1.16564770e+00],
  [  1.82168396e+02,   5.81085313e+01,   5.95993520e-01],
  [  1.56649169e+02,   5.49369546e+01,  -1.82154015e-01],
  [  1.39552637e+02,   9.16378668e+01,  -4.44866455e-01],
  [  1.43403877e+02,   9.89555256e+01,  -4.53460018e-01]]]
