[[[  1.75763190e+02,   2.15298369e+02,   6.98113127e-01],
  [  1.93954228e+02,   2.00290400e+02,  -1.82297941e-01],
  [  1.70912742e+02,   1.59005436e+02,   2.94743772e-02],
  [  1.32233697e+02,   1.50513845e+02,  -4.52147560e-01],
  [  1.45840946e+02,   1.91162655e+02,   6.01663521e-01],
  [  1.45578995e+02,   2.21363664e+02,   1.88852703e+00],
  [  1.51531175e+02,   1.54904946e+02,   1.99987430e-01],
  [  1.59701368e+02,   7.88443633e+01,   2.77617507e-01],
  [  1.59489991e+02,   6.95200598e+01,   1.81230704e-01],
  [  1.62663385e+02,   3.94511425e+01,   2.67798600e-01],
  [  1.76246402e+02,   1.30221117e+02,   4.95176735e-01],
  [  1.87524196e+02,   1.23477793e+02,   4.52369050e-01],
  [  1.77416813e+02,   8.59186028e+01,  -8.17167763e-03],
  [  1.41630261e+02,   7.20363718e+01,  -6.40090033e-04],
  [  1.29315647e+02,   1.05514057e+02,   2.69638786e-01],
  [  1.39427703e+02,   1.32528039e+02,   5.25918047e-01]]]
