[[[  2.10012650e+02,   2.15452024e+02,   7.51904048e-01],
  [  1.75309718e+02,   2.05185458e+02,   9.92990100e-02],
  [  1.77730191e+02,   1.24709490e+02,   1.14977072e+00],
  [  1.47162023e+02,   1.27017075e+02,  -1.86714133e-01],
  [  1.41811653e+02,   1.91511719e+02,  -4.90643499e-01],
  [  1.67614945e+02,   2.30703901e+02,  -1.18094040e-02],
  [  1.63054324e+02,   1.25981737e+02,   8.31620743e-01],
  [  1.58520411e+02,   7.04123111e+01,  -3.07932779e-01],
  [  1.57179887e+02,   6.05035172e+01,  -4.18691815e-01],
  [  1.53414062e+02,   3.38021755e+01,  -3.37284614e-01],
  [  1.67140310e+02,   1.36281949e+02,   9.92553658e-01],
  [  1.90340420e+02,   1.13491282e+02,   1.20394619e+00],
  [  1.76315873e+02,   7.22515014e+01,   1.27410110e-01],
  [  1.40178418e+02,   6.83458576e+01,  -1.06251534e+00],
  [  1.08503584e+02,   1.10315509e+02,  -1.13665968e+00],
  [  9.63965024e+01,   1.35357102e+02,  -6.82517458e-01]]]
